snomedid|term
P7-71020|Physical medicine initial examination for prosthetic program
P7-71020|Physical medicine initial examination for prosthetic programme
F-17020|Apprehension test
P1-91230|Incision of cerebral subarachnoid space
P1-16E61|Closed reduction of separated epiphysis of humerus
F-16712|Gaenslen's test
P1-8205F|Obliteration of cul-de-sac
P3-90420|Urine concentration test
P3-90420|Urinalysis, sediment examination, centrifuged
P1-73104|Incision and exploration of ureter
P1-90000|Operation on nervous system
P1-90000|Operation on nervous system, NOS
P1-90000|Operative procedure on nervous system
P1-90000|Operative procedure on nervous system, NOS
P2-11852|Recommendation to change dietary intake
P2-11852|Advice to change dietary intake
P1-18141|Division of cartilage of knee
P1-18141|Division of joint cartilage of knee
P1-103A2|Removal of rice bodies from tendon sheath
P1-53850|Diverticulopexy of hypopharynx
P1-53850|Suspension of pharyngeal pouch
P1-53850|Suspension of diverticulum of pharynx
P1-95842|Peripheral neuroanastomosis
P1-95842|Anastomosis of peripheral nerve
P1-51E40|Manipulation of tissue of lips
P1-51E40|Lip manipulation
P1-51E40|Manipulation of tissue of lips, NOS
P1-C1520|Anaesthesia for plastic repair of cleft lip
P1-C1520|Anesthesia for plastic repair of cleft lip
P7-90510|Training in Braille or Moon
P7-90510|Embossed literature training
P1-91635|Removal of intracranial neurostimulator electrodes
PA-60030|Body alignment education
P5-36164|Venography of adrenal, bilateral
P1-17555|Removal of internal fixation device from phalanges of hand
P1-19384|Partial excision of phalanx of toe
P3-20880|Antibody detection, RBC, enzyme, 1 stage technique, including anti-human globulin
P3-20880|Antibody detection, red blood cell, enzyme, 1 stage technique, including anti-human globulin
P1-34110|Division of aorta
P1-A4500|Injection of anterior segment of eye
P1-A4500|Injection of anterior segment of eye, NOS
P2-93802|Stimulation of carotid sinus with simultaneous electrocardiographic monitoring
P2-93802|Stimulation of carotid sinus with ECG monitoring
P1-95C10|Avulsion of nerve
P1-95C10|Neurexeresis
P1-95C10|Neurexeresis, NOS
P1-95C10|Avulsion of nerve, NOS
P1-11860|Open reduction of fracture of orbit
P1-48180|Incision and exploration of nipple
P1-18108|Drilling of femoral head
P1-18108|Graber-Duvernay operation
P2-06210|Infant development screening
P1-61010|Operation on thyroid gland
P1-61010|Thyroid gland operation
P1-61010|Operative procedure on the thyroid gland, NOS
P1-61010|Operative procedure on the thyroid gland
P1-7A377|Excision of varicocele by abdominal approach
P1-26380|Excision of bronchus, wide sleeve
P1-26380|Excision of bronchus, wide sleeve, NOS
P1-40851|Z-plasty of skin
P1-40851|Z-plasty of skin, NOS
P7-50160|Therapeutic paraffin bath
P7-50160|Physical medicine treatment to one area with paraffin bath
P7-50160|Paraffin wax baths
P7-50160|Paraffin wax bath therapy
P3-78711|Theophylline measurement, blood
P2-20258|Follow-up examination of nose and throat
P2-20258|Rhinolaryngologic follow-up evaluation
P1-74153|Drainage of perivesical space abscess
P1-A2224|Incision and drainage of lacrimal sac
P1-A3532|Insertion of keratoprosthesis
P1-A3532|Insertion of prosthesis into cornea
P1-95540|Injection of anaesthetic agent into phrenic nerve
P1-95540|Injection of anesthetic agent into phrenic nerve
P1-95540|Local anesthetic phrenic nerve block
P1-95540|Phrenic nerve block
P1-95540|Local anaesthetic phrenic nerve block
P3-7105D|Aminophylline measurement
P3-7105D|Aminophyline measurement
P1-25442|Laryngopharyngoesophagectomy with radical neck dissection and synchronous thyroidectomy
P1-25442|Laryngopharyngooesophagectomy with radical neck dissection and synchronous thyroidectomy
P1-25442|Laryngopharyngesophagectomy with radical neck dissection and synchronous thyroidectomy
P5-36110|Hepatic venography with haemodynamic evaluation
P5-36110|Hepatic venography with hemodynamic evaluation
P3-52400|Urease test, Wayne method
P2-52440|Medical procedure on perirectal tissue
P2-52440|Medical procedure on perianal tissue, NOS
P2-52440|Medical procedure on perianal tissue
P2-52440|Medical procedure on perirectal tissue, NOS
P1-C5620|Anesthesia for open procedure involving sacroiliac joint
P1-C5620|Anaesthesia for open procedure involving sacroiliac joint
P1-AC142|Plicotomy of tympanum
P3-60058|Immunoassay for detection of antibody to infectious agent, paired sample
P3-60058|Immunoassay for detection of antibody to infectious agent, paired sample, NOS
P1-84118|Drainage of ovarian cyst by vaginal approach
P1-57821|Anastomosis of intestine, large-to-rectum
P8-16160|Dental implant connecting bar
P1-A2A45|Repair of symblepharon with free graft of buccal mucous membrane
P1-30872|Creation of arterial bypass with vein graft
P1-40316|Excision of tattoo of skin
P1-40316|Removal of tattoo of skin
P1-40316|Tattoo mark removal
P5-D2512|Pulmonary ventilation-perfusion study by radioactive oxygen
P1-83824|Repair of inverted uterus by vaginal approach
P5-10326|Radiography of symphysis menti
P1-40C62|Regional chemexfoliation
P1-40C62|Regional chemexfoliation, NOS
P1-11964|Open reduction of open mandibular fracture with external fixation
P1-A2995|Reconstruction of eyelid
P1-A2995|Reconstruction of eyelid, NOS
P1-18431|Sequestrectomy of fibula
P1-86E07|Vaginal delivery, medical personnel present
P1-86E07|Vaginal delivery, NOS
P1-86E07|Vaginal delivery, NOS, medical personnel present
P3-68122|IL-6 assay
P3-68122|Interleukin (IL)-6 assay
P5-11000|Radiography of teeth
P5-11000|Radiography of teeth, NOS
P5-11000|Plain X-ray teeth
P5-11000|Dental X-ray
P5-11000|Dental radiography
P1-35925|Ligation of internal carotid artery
P1-93848|Revision of lumbosubarachnoid shunt
P1-37C10|Destructive procedure of artery of upper extremity
P1-37C10|Destructive procedure of artery of upper extremity, NOS
P3-61723|Serologic test for Ehrlichia sennetsu
P1-45365|Excision of knee fat pad
P5-50220|Cholecystocholangiogram
P1-83C20|Destruction of lesion of uterus
P1-83C20|Destruction of lesion of uterus, NOS
P1-C3630|Anesthesia for posterior cervical laminectomy in sitting position
P1-C3630|Anaesthesia for posterior cervical laminectomy in sitting position
P1-10406|Excision of lesion of soft tissue
P1-10406|Excision of lesion of soft tissue, NOS
P1-58857|Repair of rectourethral fistula
P1-58857|Closure of urethrorectal fistula
P1-58857|Closure of rectourethral fistula
P1-17B26|Closure of cleft hand
P1-17B26|Closure of palmar cleft
P1-17B26|Barsky operation for closure of cleft hand
P1-33831|Repair of coronary arteriocardiac chamber fistula
P3-61700|Rickettsial serologic study
P3-61700|Rickettsial serologic study, NOS
P1-A2A20|Reconstruction of eyelid with tarsoconjunctival flap
P1-74150|Incision of perivesical tissue
P3-52000|Microbial identification test
P3-52000|Microbial identification test, NOS
P1-36450|Excision of lesion from abdominal artery
P1-58851|Repair of perirectal fistula
P1-58851|Closure of perirectal fistula
P5-70660|Radiography of pelvic soft tissue
P1-A2910|Repair of laceration of conjunctiva
P3-68502|Complement mediated cytotoxicity assay
P3-68502|Complement mediated cytotoxicity assay, dye exclusion assay
P1-5AE50|Probing of salivary duct
P1-5AE50|Probing of salivary duct, NOS
P1-5AE50|Salivary duct probing
P8-80010|Prosthodontic dental consultation and report
P2-A0002|Ophthalmic service or procedure
P2-A0002|Ophthalmic service or procedure, NOS
P1-57342|Partial colectomy with colostomy and creation of mucofistula
P0-05ADA|Incision of hepatic ducts
P0-05ADA|Cholangiotomy, NOS
P0-05ADA|Cholangiotomy
P0-05ADA|Incision of hepatic ducts, NOS
P0-05ADA|Hepaticostomy, NOS
P5-10330|Diagnostic radiography of temporomandibular joint
P5-10330|TMJ X-ray
P5-10330|Temporomandibular joint X-ray
P5-10330|Diagnostic radiography of temporomandibular joint, NOS
P1-10825|Repair of fracture with osteotomy and correction of alignment with internal fixation device
P8-00102|Dental history taking
P8-00102|Dental history taking, NOS
P1-577B2|Proctosigmoidoscopy through artificial stoma
P1-5C100|Incision of gallbladder
P1-5C100|Cholecystotomy
P1-23331|Excision of lesion of ethmoid sinus
P5-B9154|Ophthalmic echography with amplitude quantitation, A-mode
P1-23716|Maxillary sinus endoscopy with removal of mucous membrane
P1-56926|Revision of anastomosis of small intestine
P1-38392|Embolectomy of lower limb vein
P1-38392|Removal of embolus of lower limb vein
P1-36400|Removal of embolus from thoracic artery
P1-36400|Embolectomy of thoracic artery
P1-36400|Embolectomy of thoracic artery, NOS
P1-36400|Removal of embolus from thoracic artery, NOS
P3-10070|Capillary fragility test
P3-10070|Hess test
P3-10070|Rumpel-Leede test
P3-10070|Tourniquet test
P5-39012|Transcatheter therapy for embolization with angiography
P5-39012|Transcatheter therapy for embolisation with angiography
P5-70392|Magnetic resonance imaging of lumbar spine with contrast
P3-7809A|6-Monoacetylmorphine measurement
P1-55701|Endoscopic application of haemostyptics to gastric lesion
P1-55701|Endoscopic application of hemostyptics to gastric lesion
P1-55701|Endoscopic chemical haemostasis of stomach lesion
P1-55701|Endoscopic chemical hemostasis of stomach lesion
P1-50505|Gastrointestinal fistula procedure
P0-05548|Savage intestinal decompression
P1-5684C|Closure of intestinal-vascular graft fistula
P1-5636F|Ileectomy and ileostomy
P1-5636F|Ileal resection and ileostomy
P0-2003D|Discharge by neurologist
P0-2003E|Discharge by nuclear medicine physician
P0-2003F|Discharge by palliative care physician
P0-20040|Discharge by rehabilitation physician
P0-2006E|Discharge by trauma surgeon
P0-2006F|Discharge by urologist
P0-20071|Discharge by vascular surgeon
P0-20072|Discharge by nurse
P0-200A4|Discharge by community-based dietitian
P0-200A4|Discharge by community dietitian
P0-200A5|Discharge by occupational therapist
P0-200A6|Discharge by community-based occupational therapist
P0-200A6|Discharge by community occupational therapist
P1-101DD|Arthroscopic debridement of knee joint
P0-005EA|Care of equipment by device
P0-005EA|Care of equipment categorized by device
P0-0585C|Exploration of uterine cavity
P1-83374|Abdominal hysterocolpectomy
P1-83374|Extended abdominal hysterectomy
P1-8235A|Vaginal hysterocolpectomy
P3-79109|Cresol identification
P3-79023|Sulfonyluric hypoglycemic identification
P3-79023|Sulphonyluric hypoglycaemic identification
P3-78093|Aprobarbital measurement
P1-03040|Lobectomy
P3-72901|Galactosylceramide beta-galactosidase measurement, fibroblasts
P1-0E320|Epilation
P1-0E320|Epilation, NOS
P1-0E320|Hair removal
P1-0E320|Depilating hair
P1-0E320|Depilation of skin
P1-0E320|Epilation of skin
P1-0E320|Depilation
P1-0E320|Removal of hair
P1-31030|Operation on papillary muscle of heart
P1-31030|Operation on papillary muscle
P1-31030|Operation on papillary muscle of heart, NOS
PA-11800|Preoperative preparation of skin
PA-11800|Performs skin preparations
PA-11800|Preoperative preparation of skin, NOS
P1-B6804|Delayed closure of abdominal wall
P1-B6804|Delayed closure of abdominal wound
P1-B6804|Secondary closure of abdominal wall
P1-B6804|Delayed closure of granulating abdominal wound
P1-B6804|Secondary closure of abdominal wound
P1-54940|Intrathoracic oesophagoileostomy
P1-54940|Intrathoracic esophagoileostomy
P1-54940|Intrathoracic esophagoileostomy, NOS
P1-54940|Intrathoracic oesophagoileostomy, NOS
P2-10200|Evaluation and management of established outpatient in office or other outpatient facility
P2-10200|History and physical examination with management of established patient
P2-10200|History and physical examination with management of established patient, NOS
P2-10200|Evaluation and management of established outpatient in office or other outpatient facility, NOS
P3-61631|Borrelia burgdorferi 23kd antibody assay
P3-61632|Borrelia burgdorferi 25kd antibody assay
P3-61633|Borrelia burgdorferi 28kd antibody assay
P3-67051|Insulin receptor antibody assay
P3-62061|PM-Scl extractable nuclear antibody assay
P3-62061|PM-SCL extractable nuclear antibody assay
P3-62061|Polymyositis-scleroderma (PM-Scl) extractable nuclear antibody assay
P3-62405|Plasmodium falciparum antigen assay
P3-50022|Bacillus anthracis culture
P3-5004C|Methicillin resistant Staphylococcus aureus culture
P3-52091|Astrovirus detection
P3-49B50|Blastomyces dermatitidis rRNA assay
P3-49B28|Borrelia burgdorferi DNA assay
P3-49B2A|Campylobacter coli rRNA assay
P3-62435|Lassa virus antigen assay
P3-62478|Legionella pneumophila 1 antigen assay
P3-62479|Leptospira interrogans antigen assay
P3-50031|Corynebacterium diphtheriae culture
P3-52082|Yeast detection
P3-52095|Herpes simplex virus 1 detection
P3-52087|Entamoeba histolytica detection
P3-52087|Entameba histolytica detection
P3-5208A|Trichomonas vaginalis detection
P1-08005|Augmentation procedure
P1-08005|Augmentation
P1-08601|Reconstruction procedure
P1-08601|Reconstruction
PA-60047|Musculoskeletal care education
PA-60047|Teach musculoskeletal care
P3-6161D|Mycoplasma hominis antibody assay
P3-61825|Histoplasma capsulatum yeast antibody assay
P3-61913|Ascaris lumbricoides antibody assay
P5-D6160|Radioisotope scan of pituitary
P1-55A34|Repair of gastroenterocolic fistula
P1-55A34|Closure of gastroenterocolic fistula
P1-37386|Thrombectomy with catheter of femoropopliteal artery by leg incision
P0-90030|Legal court testimony concerning aspects of patient's problem or condition
P1-79E20|Manipulation of epididymis
P1-79E20|Manipulation of epididymis, NOS
P1-AB820|Repair of ear cartilage
P1-AB820|Otoplasty of cartilage of ear
P1-AB820|Repair of ear cartilage, NOS
P1-AB820|Otoplasty of cartilage of ear, NOS
P1-14823|Reconstruction of hip with use of methyl methacrylate
P1-14823|Total replacement of hip with use of methyl methacrylate
P1-14823|Arthroplasty of hip, total, with use of methyl methacrylate
P1-10103|Incision and removal of orthopedic device
P1-10103|Incision and removal of orthopaedic device
P1-10103|Incision and removal of orthopedic device, NOS
P1-A5327|Extraction of secondary membrane by discission
P1-A5327|Extraction of after cataract by discission
P1-84010|Diagnostic procedure on ovary
P1-84010|Diagnostic procedure on ovary, NOS
P1-30316|Excision of lesion of artery
P1-30316|Excision of lesion of artery, NOS
P1-30824|Rastelli operation in repair of transposition of great vessels
P1-18994|Arthroplasty of knee
P1-18994|Repair of knee joint
P1-18994|Repair of knee joint, NOS
P1-18994|Arthroplasty of knee, NOS
P1-18994|Knee replacement
P1-18994|Knee arthroplasty
P1-18994|Arthroplasty of the knee
P1-81C30|Cryotherapy of genital warts
P2-11050|Subsequent nursing facility visit
P2-11050|Subsequent nursing facility visit, NOS
P1-16E37|Reduction of closed humeral fracture with manipulation
